id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
1,,2024-03-13 12:21,은행,식비,,라이프밀크티-채은,4000,지출,
2,,2024-03-13 12:21,은행,식비,,사장님돈까스-채은,9500,지출,
3,,2024-03-11 12:20,은행,식비,,스튜디오웝--채은,5000,지출,
4,,2024-03-11 12:20,은행,식비,,존재의이유-채은,8000,지출,
5,,2024-03-10 16:20,은행,식비,,공대이마트,2700,지출,
6,,2024-03-08 18:19,은행,식비,,창신역 gs,3500,지출,
7,,2024-03-06 23:19,은행,식비,,오봉도시락-영애,4500,지출,
8,10,2024-03-06 18:19,은행,식비,,백제정육점-영수효정,31334,지출,
9,,2024-03-06 16:15,은행,식비,,공대이마트,1500,지출,
10,,2024-03-06 16:15,일정,약속,,백제정육점,31334,,
11,,2024-03-05 12:17,은행,기타,,해비타트,10000,지출,
12,,2024-03-04 18:36,은행,문화생활,,코노-영수비차,4000,지출,
13,,2024-03-04 13:36,은행,식비,,딸기골-영수딱지,6500,지출,
14,,2024-03-01 18:36,은행,용돈,,,300000,수입,
15,,2024-02-29 18:34,은행,월급,,,499230,수입,
16,,2024-02-29 18:34,은행,식비,,맥도날드-지민,14100,지출,
17,,2024-02-29 14:34,은행,식비,,백엔드팀플카페,4100,지출,
18,20,2024-02-27 18:33,은행,식비,,안테이쿠-세원하린(26일),39860,지출,
19,20,2024-02-26 18:33,은행,경조사/회비,,민아 졸업식 꽃다발,32000,지출,
20,,2024-02-26 18:33,일정,약속,,졸업식팟,71860,,
21,,2024-02-22 18:32,은행,패션/미용,,미용실 매직,110000,지출,
22,,2024-02-22 16:32,은행,식비,,공차-지민,5000,지출,
23,,2024-02-20 18:32,은행,식비,,"마라탕-지민(카카오8,000원",10000,지출,
24,,2024-02-19 18:30,은행,패션/미용,,미용실 예약금,10000,지출,
25,,2024-02-19 18:30,은행,문화생활,,플로결제,790,지출,
26,,2024-02-18 18:17,은행,식비,,뿌링클-집,20000,지출,
27,,2024-02-14 18:16,은행,문화생활,,코노-지민,5000,지출,
28,,2024-02-14 18:16,은행,건강,,약국,7000,지출,
29,,2024-02-14 18:16,은행,건강,,이비인후과,5200,지출,
